1,Kilauea,0,0.4
3,Mauna Kea,54,0.375
5,Kohala,100,0.43
6,Haleakala,182,0.75
7,Kahoolawe,185,1.03
8,West Maui,221,1.32
9,Lanai,226,1.28
10,East Molokai,256,1.76
11,West Molokai,280,1.9
12,Koolau,339,2.6
13,Waianae,374,3.7
14,Kauai,519,5.1
15,Niihau,565,4.89
15A,Kaula,600,4
17,Nihoa,780,7.2
20,Unnamed,913,9.2
23,Necker,1058,10.3
26,La Perouse Pinnacles,1209,12
27,Brooks Bank,1256,13
30,Gardner Pinnacles,1435,12.3
36,Laysan,1818,19.9
37,Northampton Bank,1841,26.6
50,Pearl and Hermes Reef,2281,20.6
52,Midway,2432,27.7
57,Unnamed,2600,28
63,Unnamed,2825,27.4
65,Colohan,3128,38.6
65A,Abbott,3280,38.7
67,Daikakuji,3493,42.4
69,Yuryaku,3520,43.4
72,Kimmei,3668,39.9
74,Koko (southern),3758,48.1
81,Ojin,4102,55.2
83,Jingu,4175,55.4
86,Nintoku,4452,56.2
90,Suiko (southern),4794,59.6
91,Suiko (central),4860,64.7